Fragment Size,Count,Range,Group,BAM File
248458,5,>1000,Normal,H7-plasma.bam
248572,5,>1000,Normal,H7-plasma.bam
11800926,5,>1000,Normal,H7-plasma.bam
11800906,5,>1000,Normal,H7-plasma.bam
967760,5,>1000,Normal,H7-plasma.bam
11800865,5,>1000,Normal,H7-plasma.bam
11800868,5,>1000,Normal,H7-plasma.bam
324134,5,>1000,Normal,H7-plasma.bam
6307,5,>1000,Normal,H7-plasma.bam
11801034,5,>1000,Normal,H7-plasma.bam
17845,5,>1000,Normal,H7-plasma.bam
337618,5,>1000,Normal,H7-plasma.bam
21490,5,>1000,Normal,H7-plasma.bam
22,5,100-200,Normal,H7-plasma.bam
31773,5,>1000,Normal,H7-plasma.bam
4418,5,>1000,Normal,H7-plasma.bam
13,5,100-200,Normal,H7-plasma.bam
11800911,5,>1000,Normal,H7-plasma.bam
423957,5,>1000,Normal,H7-plasma.bam
324146,5,>1000,Normal,H7-plasma.bam
2306651,5,>1000,Normal,H7-plasma.bam
30234,5,>1000,Normal,H7-plasma.bam
61633,5,>1000,Normal,H7-plasma.bam
45529860,5,>1000,Normal,H7-plasma.bam
3364142,5,>1000,Normal,H7-plasma.bam
768,5,500-1000,Normal,H7-plasma.bam
11800912,5,>1000,Normal,H7-plasma.bam
490275,5,>1000,Normal,H7-plasma.bam
490253,5,>1000,Normal,H7-plasma.bam
13908,5,>1000,Normal,H7-plasma.bam
50,5,100-200,Normal,H7-plasma.bam
485,5,200-500,Normal,H7-plasma.bam
485685,5,>1000,Normal,H7-plasma.bam
11800918,5,>1000,Normal,H7-plasma.bam
11800864,5,>1000,Normal,H7-plasma.bam
11800870,5,>1000,Normal,H7-plasma.bam
490274,5,>1000,Normal,H7-plasma.bam
324,5,200-500,Normal,H7-plasma.bam
521,5,500-1000,Normal,H7-plasma.bam
460,5,200-500,Normal,H7-plasma.bam
2306642,5,>1000,Normal,H7-plasma.bam
497,5,200-500,Normal,H7-plasma.bam
113254,5,>1000,Normal,H7-plasma.bam
261,5,200-500,Normal,H7-plasma.bam
2306650,5,>1000,Normal,H7-plasma.bam
75337,4,>1000,Normal,H7-plasma.bam
272,4,200-500,Normal,H7-plasma.bam
56897,4,>1000,Normal,H7-plasma.bam
10750,4,>1000,Normal,H7-plasma.bam
56919,4,>1000,Normal,H7-plasma.bam
45532332,4,>1000,Normal,H7-plasma.bam
4874760,4,>1000,Normal,H7-plasma.bam
2620,4,>1000,Normal,H7-plasma.bam
11800869,4,>1000,Normal,H7-plasma.bam
11800919,4,>1000,Normal,H7-plasma.bam
56866,4,>1000,Normal,H7-plasma.bam
263,4,200-500,Normal,H7-plasma.bam
8113,4,>1000,Normal,H7-plasma.bam
11800871,4,>1000,Normal,H7-plasma.bam
11800889,4,>1000,Normal,H7-plasma.bam
765418,4,>1000,Normal,H7-plasma.bam
11800851,4,>1000,Normal,H7-plasma.bam
323,4,200-500,Normal,H7-plasma.bam
299,4,200-500,Normal,H7-plasma.bam
351,4,200-500,Normal,H7-plasma.bam
3205,4,>1000,Normal,H7-plasma.bam
30505,4,>1000,Normal,H7-plasma.bam
45124421,4,>1000,Normal,H7-plasma.bam
378,4,200-500,Normal,H7-plasma.bam
841370,4,>1000,Normal,H7-plasma.bam
11800905,4,>1000,Normal,H7-plasma.bam
417,4,200-500,Normal,H7-plasma.bam
113290,4,>1000,Normal,H7-plasma.bam
2306653,4,>1000,Normal,H7-plasma.bam
841396,4,>1000,Normal,H7-plasma.bam
4919130,4,>1000,Normal,H7-plasma.bam
15166,4,>1000,Normal,H7-plasma.bam
337718,4,>1000,Normal,H7-plasma.bam
729187,4,>1000,Normal,H7-plasma.bam
11800893,4,>1000,Normal,H7-plasma.bam
26220,4,>1000,Normal,H7-plasma.bam
11801044,4,>1000,Normal,H7-plasma.bam
12224,4,>1000,Normal,H7-plasma.bam
11801037,4,>1000,Normal,H7-plasma.bam
15164,4,>1000,Normal,H7-plasma.bam
341,4,200-500,Normal,H7-plasma.bam
17729,4,>1000,Normal,H7-plasma.bam
47984,4,>1000,Normal,H7-plasma.bam
517,4,500-1000,Normal,H7-plasma.bam
451,4,200-500,Normal,H7-plasma.bam
330,4,200-500,Normal,H7-plasma.bam
267,4,200-500,Normal,H7-plasma.bam
260,4,200-500,Normal,H7-plasma.bam
